full_code,short_code,name,name_cy,slug,gss_code,three_code,nation,region,con_type,electorate,area,density,center_lat,center_lon,"lat,lon"
uk.org.mysociety.cons.ukparl.2025.hbv,UKPARL.2025.HBV,Hamble Valley,,hamble-valley,E14001263,HBV,England,South East,county,76902,100.641174,764.1206568,50.88295877,-1.275213001,"50.8829587678828,-1.27521300142007"
uk.org.mysociety.cons.ukparl.2025.win,UKPARL.2025.WIN,Winchester,,winchester,E14001587,WIN,England,South East,county,76577,572.8716901,133.6721666,51.0487163,-1.231667832,"51.0487162959237,-1.23166783168756"
uk.org.mysociety.cons.ukparl.2025.faw,UKPARL.2025.FAW,Fareham and Waterlooville,,fareham-and-waterlooville,E14001233,FAW,England,South East,county,77036,98.90252799,778.9083006,50.88080073,-1.126974317,"50.8808007291103,-1.1269743174887"
uk.org.mysociety.cons.ukparl.2025.gos,UKPARL.2025.GOS,Gosport,,gosport,E14001252,GOS,England,South East,borough,73763,38.96404138,1893.104447,50.8110173,-1.173903365,"50.8110172979818,-1.17390336474233"
uk.org.mysociety.cons.ukparl.2025.pon,UKPARL.2025.PON,Portsmouth North,,portsmouth-north,E14001431,PON,England,South East,borough,71844,43.15446227,1664.810456,50.83047097,-1.077678255,"50.8304709712548,-1.07767825525662"
uk.org.mysociety.cons.ukparl.2025.pos,UKPARL.2025.POS,Portsmouth South,,portsmouth-south,E14001432,POS,England,South East,borough,74253,16.98466414,4371.767342,50.79496847,-1.08014512,"50.7949684653896,-1.08014511978597"
uk.org.mysociety.cons.ukparl.2025.hav,UKPARL.2025.HAV,Havant,,havant,E14001275,HAV,England,South East,borough,72766,70.79048643,1027.906484,50.83229282,-0.9854179414,"50.8322928206786,-0.985417941407124"
uk.org.mysociety.cons.ukparl.2025.cch,UKPARL.2025.CCH,Chichester,,chichester,E14001166,CCH,England,South East,county,76765,317.2086857,242.0015702,50.84122224,-0.8250850992,"50.841222236596,-0.825085099217239"
uk.org.mysociety.cons.ukparl.2025.wrh,UKPARL.2025.WRH,Worthing West,,worthing-west,E14001599,WRH,England,South East,county,76293,75.87080432,1005.564666,50.84412697,-0.439113399,"50.8441269650214,-0.439113398952624"
uk.org.mysociety.cons.ukparl.2025.ews,UKPARL.2025.EWS,East Worthing and Shoreham,,east-worthing-and-shoreham,E14001218,EWS,England,South East,county,75466,57.4575381,1313.422094,50.8424685,-0.3165802469,"50.8424685048036,-0.316580246946202"
uk.org.mysociety.cons.ukparl.2025.aht,UKPARL.2025.AHT,Aldershot,,aldershot,E14001063,AHT,England,South East,borough,76765,57.09110389,1344.605285,51.28922591,-0.7802023523,"51.2892259070854,-0.780202352260419"
